timestamp,pkts_30s_src0,pkts_30s_src1,pkts_30s_src2,pkts_30s_src3,pkts_30s_src4,pkts_30s_src5,pkts_10s_src0,pkts_10s_src1,pkts_10s_src2,pkts_10s_src3,pkts_10s_src4,pkts_10s_src5,pkts_5s_src0,pkts_5s_src1,pkts_5s_src2,pkts_5s_src3,pkts_5s_src4,pkts_5s_src5,avg_pkt_size_30s_src0,avg_pkt_size_30s_src1,avg_pkt_size_30s_src2,avg_pkt_size_30s_src3,avg_pkt_size_30s_src4,avg_pkt_size_30s_src5,avg_pkt_size_10s_src0,avg_pkt_size_10s_src1,avg_pkt_size_10s_src2,avg_pkt_size_10s_src3,avg_pkt_size_10s_src4,avg_pkt_size_10s_src5,avg_pkt_size_5s_src0,avg_pkt_size_5s_src1,avg_pkt_size_5s_src2,avg_pkt_size_5s_src3,avg_pkt_size_5s_src4,avg_pkt_size_5s_src5,pkt_size_var_30s_src0,pkt_size_var_30s_src1,pkt_size_var_30s_src2,pkt_size_var_30s_src3,pkt_size_var_30s_src4,pkt_size_var_30s_src5,pkt_size_var_10s_src0,pkt_size_var_10s_src1,pkt_size_var_10s_src2,pkt_size_var_10s_src3,pkt_size_var_10s_src4,pkt_size_var_10s_src5,pkt_size_var_5s_src0,pkt_size_var_5s_src1,pkt_size_var_5s_src2,pkt_size_var_5s_src3,pkt_size_var_5s_src4,pkt_size_var_5s_src5,tcp_30s_src0,tcp_30s_src1,tcp_30s_src2,tcp_30s_src3,tcp_30s_src4,tcp_30s_src5,tcp_10s_src0,tcp_10s_src1,tcp_10s_src2,tcp_10s_src3,tcp_10s_src4,tcp_10s_src5,tcp_5s_src0,tcp_5s_src1,tcp_5s_src2,tcp_5s_src3,tcp_5s_src4,tcp_5s_src5,udp_30s_src0,udp_30s_src1,udp_30s_src2,udp_30s_src3,udp_30s_src4,udp_30s_src5,udp_10s_src0,udp_10s_src1,udp_10s_src2,udp_10s_src3,udp_10s_src4,udp_10s_src5,udp_5s_src0,udp_5s_src1,udp_5s_src2,udp_5s_src3,udp_5s_src4,udp_5s_src5,queue_avg_30s_src0,queue_var_30s_src0,queue_avg_30s_src1,queue_var_30s_src1,queue_avg_30s_src2,queue_var_30s_src2,queue_avg_30s_src3,queue_var_30s_src3,queue_avg_30s_src4,queue_var_30s_src4,queue_avg_30s_src5,queue_var_30s_src5,queue_avg_10s_src0,queue_var_10s_src0,queue_avg_10s_src1,queue_var_10s_src1,queue_avg_10s_src2,queue_var_10s_src2,queue_avg_10s_src3,queue_var_10s_src3,queue_avg_10s_src4,queue_var_10s_src4,queue_avg_10s_src5,queue_var_10s_src5,queue_avg_5s_src0,queue_var_5s_src0,queue_avg_5s_src1,queue_var_5s_src1,queue_avg_5s_src2,queue_var_5s_src2,queue_avg_5s_src3,queue_var_5s_src3,queue_avg_5s_src4,queue_var_5s_src4,queue_avg_5s_src5,queue_var_5s_src5,label
0.5,1,4,1,4,2,3,1,4,1,4,2,3,1,4,1,4,2,3,32.0,78.25,32.0,71.5,46.0,52.0,32.0,78.25,32.0,71.5,46.0,52.0,32.0,78.25,32.0,71.5,46.0,52.0,0.0,3217.5833333333335,0.0,1723.6666666666667,392.0,304.0,0.0,3217.5833333333335,0.0,1723.6666666666667,392.0,304.0,0.0,3217.5833333333335,0.0,1723.6666666666667,392.0,304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,4.166666666666667,3.5238095238095233,0
1.0,1,5,1,6,3,4,1,5,1,6,3,4,1,5,1,6,3,4,32.0,88.2,32.0,79.0,73.33333333333333,71.0,32.0,88.2,32.0,79.0,73.33333333333333,71.0,32.0,88.2,32.0,79.0,73.33333333333333,71.0,0.0,2908.2,0.0,1631.6,2437.333333333333,1646.6666666666667,0.0,2908.2,0.0,1631.6,2437.333333333333,1646.6666666666667,0.0,2908.2,0.0,1631.6,2437.333333333333,1646.6666666666667,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,3.625,3.8125,0
1.5,1,7,1,7,4,6,1,7,1,7,4,6,1,7,1,7,4,6,32.0,227.57142857142858,32.0,86.0,70.0,78.66666666666667,32.0,227.57142857142858,32.0,86.0,70.0,78.66666666666667,32.0,227.57142857142858,32.0,86.0,70.0,78.66666666666667,0.0,125494.61904761905,0.0,1702.6666666666667,1669.3333333333333,1591.4666666666667,0.0,125494.61904761905,0.0,1702.6666666666667,1669.3333333333333,1591.4666666666667,0.0,125494.61904761905,0.0,1702.6666666666667,1669.3333333333333,1591.4666666666667,0,3,0,2,1,2,0,3,0,2,1,2,0,3,0,2,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,2.9615384615384617,4.578461538461538,0
2.0,1,8,1,8,6,8,1,8,1,8,6,8,1,8,1,8,6,8,32.0,327.125,32.0,203.25,238.66666666666666,315.0,32.0,327.125,32.0,203.25,238.66666666666666,315.0,32.0,327.125,32.0,203.25,238.66666666666666,315.0,0.0,186854.125,0.0,111439.92857142857,149559.46666666667,192634.2857142857,0.0,186854.125,0.0,111439.92857142857,149559.46666666667,192634.2857142857,0.0,186854.125,0.0,111439.92857142857,149559.46666666667,192634.2857142857,0,4,0,3,3,4,0,4,0,3,3,4,0,4,0,3,3,4,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,2.453125,4.876764112903226,0
2.5,1,10,1,10,7,10,1,10,1,10,7,10,1,10,1,10,7,10,32.0,370.1,32.0,277.8,350.85714285714283,360.4,32.0,370.1,32.0,277.8,350.85714285714283,360.4,32.0,370.1,32.0,277.8,350.85714285714283,360.4,0.0,205166.7666666667,0.0,155977.2888888889,212739.8095238095,210614.93333333332,0.0,205166.7666666667,0.0,155977.2888888889,212739.8095238095,210614.93333333332,0.0,205166.7666666667,0.0,155977.2888888889,212739.8095238095,210614.93333333332,0,6,0,5,4,6,0,6,0,5,4,6,0,6,0,5,4,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,2.051282051282051,4.747300944669367,0
3.0,1,10,1,11,9,10,1,10,1,11,9,10,1,10,1,11,9,10,32.0,370.1,32.0,345.6363636363636,400.8888888888889,360.4,32.0,370.1,32.0,345.6363636363636,400.8888888888889,360.4,32.0,370.1,32.0,345.6363636363636,400.8888888888889,360.4,0.0,205166.7666666667,0.0,190999.05454545454,219587.1111111111,210614.93333333332,0.0,205166.7666666667,0.0,190999.05454545454,219587.1111111111,210614.93333333332,0.0,205166.7666666667,0.0,190999.05454545454,219587.1111111111,210614.93333333332,0,6,0,6,6,6,0,6,0,6,6,6,0,6,0,6,6,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,1.9166666666666667,4.645325203252032,0
3.5,1,10,1,13,9,10,1,10,1,13,9,10,1,10,1,13,9,10,32.0,370.1,32.0,381.0769230769231,400.8888888888889,360.4,32.0,370.1,32.0,381.0769230769231,400.8888888888889,360.4,32.0,370.1,32.0,381.0769230769231,400.8888888888889,360.4,0.0,205166.7666666667,0.0,200100.41025641025,219587.1111111111,210614.93333333332,0.0,205166.7666666667,0.0,200100.41025641025,219587.1111111111,210614.93333333332,0.0,205166.7666666667,0.0,200100.41025641025,219587.1111111111,210614.93333333332,0,6,0,8,6,6,0,6,0,8,6,6,0,6,0,8,6,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,1.8409090909090908,4.555496828752644,0
4.0,1,10,1,13,11,10,1,10,1,13,11,10,1,10,1,13,11,10,32.0,370.1,32.0,381.0769230769231,426.54545454545456,360.4,32.0,370.1,32.0,381.0769230769231,426.54545454545456,360.4,32.0,370.1,32.0,381.0769230769231,426.54545454545456,360.4,0.0,205166.7666666667,0.0,200100.41025641025,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,200100.41025641025,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,200100.41025641025,225392.87272727274,210614.93333333332,0,6,0,8,8,6,0,6,0,8,8,6,0,6,0,8,8,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,1.7717391304347827,4.46340579710145,0
4.5,1,10,1,15,11,10,1,10,1,15,11,10,1,10,1,15,11,10,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0,6,0,10,8,6,0,6,0,10,8,6,0,6,0,10,8,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,0
5.0,1,10,1,15,11,10,1,10,1,15,11,10,1,10,1,15,11,10,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,32.0,370.1,32.0,402.53333333333336,426.54545454545456,360.4,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0.0,205166.7666666667,0.0,207909.980952381,225392.87272727274,210614.93333333332,0,6,0,10,8,6,0,6,0,10,8,6,0,6,0,10,8,6,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,1.7083333333333333,4.370567375886525,0
