round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
1,0,5,0.5669444444444445,0.635,0.565,0.5825,0.5680345518532867,0.7208935609035784,0.98923152227117,0.5814977973568282,0.7216695595246879,0.6433877483362042,0.4141666666666667,0.4141666666666667,30,30
2,5,10,0.5616666666666666,0.7416666666666667,0.5641666666666667,0.5975,0.5655206431442062,0.7800510403501427,0.9823788546255506,0.7567302985805188,0.7178175601500679,0.7677598049164361,0.8333333333333334,0.8333333333333334,30,30
3,10,15,0.5494444444444445,0.7813888888888889,0.52,0.5691666666666667,0.5603524885034475,0.7564392250086319,0.9549681840430738,0.9060205580029367,0.706182325626603,0.8244130263772647,0.8375,0.8375,30,30
4,15,20,0.555,0.7858333333333333,0.5875,0.5658333333333333,0.5633075999024452,0.7635562473093583,0.9579050416054821,0.9011257953989231,0.7093219110612243,0.8265573522897086,0.8383333333333334,0.8383333333333334,30,30
5,20,25,0.5836111111111111,0.7630555555555555,0.5658333333333333,0.5758333333333333,0.5781149065034145,0.7814891156654702,0.990699951052374,0.8076358296622613,0.7300294140647733,0.7942684565855972,0.8366666666666667,0.8366666666666667,30,30
6,25,30,0.5952777777777779,0.7641666666666667,0.5783333333333334,0.5825,0.5860403383182574,0.7637498697031604,0.9833578071463535,0.8453255017131669,0.734253653897334,0.8023769044411245,0.9491666666666667,0.9491666666666667,30,30
7,30,35,0.5941666666666666,0.7563888888888889,0.5808333333333333,0.58,0.5898302529278605,0.7448630770091448,0.9466470876162506,0.8673519334312285,0.7264780506764722,0.8013930455848327,0.9541666666666667,0.9541666666666667,30,30
8,35,40,0.6141666666666666,0.7591666666666667,0.5683333333333334,0.585,0.6028608575332073,0.7495316995825739,0.9534997552618698,0.863925599608419,0.7381205290268431,0.8026273832214162,0.9333333333333333,0.9333333333333333,30,30
9,40,45,0.6225,0.7577777777777778,0.575,0.5758333333333333,0.610725112249826,0.7541845342399114,0.9417523250122368,0.8497307880567792,0.7402369984217968,0.7990212409716747,0.9558333333333333,0.9558333333333333,30,30
10,45,50,0.6124999999999999,0.7683333333333332,0.5783333333333334,0.5733333333333334,0.6099647896579127,0.7641221863166164,0.9021047479197258,0.8556045031815956,0.7268815440480415,0.8071623986664207,0.9516666666666667,0.9516666666666667,30,30
